iang1 iāng
iang2 iáng
iang3 iǎng
iang4 iàng
iong1 iōng
iong2 ióng
iong3 iǒng
iong4 iòng
uang1 uāng
uang2 uáng
uang3 uǎng
uang4 uàng
uu1an üan
uu2an ǘan
uu3an ǚan
uu4an ǜan
ang1 āng
ang2 áng
ang3 ǎng
ang4 àng
eng1 ēng
eng2 éng
eng3 ěng
eng4 èng
ian1 iān
ian2 ián
ian3 iǎn
ian4 iàn
iao1 iāo
iao2 iáo
iao3 iǎo
iao4 iào
ing1 īng
ing2 íng
ing3 ǐng
ing4 ìng
ong1 ōng
ong2 óng
ong3 ǒng
ong4 òng
uai1 uāi
uai2 uái
uai3 uǎi
uai4 uài
uan1 uān
uan2 uán
uan3 uǎn
uan4 uàn
uu1e üe
uu2e ǘe
uu3e ǚe
uu4e ǜe
uue1 üe
uue2 ǘe
uue3 ǚe
uue4 ǜe
ai1 āi
ai2 ái
ai3 ǎi
ai4 ài
an1 ān
an2 án
an3 ǎn
an4 àn
ao1 āo
ao2 áo
ao3 ǎo
ao4 ào
ei1 ēi
ei2 éi
ei3 ěi
ei4 èi
en1 ēn
en2 én
en3 ěn
en4 èn
er1 ēr
er2 ér
er3 ěr
er4 èr
ia1 iā
ia2 iá
ia3 iǎ
ia4 ià
ie1 iē
ie2 ié
ie3 iě
ie4 iè
in1 īn
in2 ín
in3 ǐn
in4 ìn
iu1 iū
iu2 iú
iu3 iǔ
iu4 iù
ou1 ōu
ou2 óu
ou3 ǒu
ou4 òu
ua1 uā
ua2 uá
ua3 uǎ
ua4 uà
ui1 uī
ui2 uí
ui3 uǐ
ui4 uì
un1 ūn
un2 ún
un3 ǔn
un4 ùn
uo1 uō
uo2 uó
uo3 uǒ
uo4 uò
uu1 ü
uu2 ǘ
uu3 ǚ
uu4 ǜ
a1 ā
a2 á
a3 ǎ
a4 à
e1 ē
e2 é
e3 ě
e4 è
i1 ī
i2 í
i3 ǐ
i4 ì
o1 ō
o2 ó
o3 ǒ
o4 ò
u1 ū
u2 ú
u3 ǔ
u4 ù
